-0.01792,-0.05000
-0.00999,-0.04846
-0.00396,-0.03954
-0.00246,-0.03503
-0.00211,-0.03160
-0.00077,-0.02027
-0.00096,-0.01264
-0.00041,-0.01170
0.00167,-0.01170
0.00198,-0.01211
0.00179,-0.01837
0.00296,-0.02659
0.00435,-0.03341
0.00600,-0.03796
0.00882,-0.04345
0.01501,-0.04913
0.01986,-0.04954
0.02264,-0.04823
0.02428,-0.04711
0.02784,-0.04049
0.02919,-0.02833
0.02863,-0.02494
0.02824,-0.01974
0.02610,-0.01118
0.02384,-0.00465
0.02645,-0.00193
0.03184,0.00517
0.03416,0.01026
0.03510,0.01545
0.03534,0.01861
0.03020,0.03767
0.02105,0.04527
0.01616,0.04760
0.00820,0.04943
-0.00566,0.05000
-0.01059,0.04900
-0.02288,0.04380
-0.03044,0.03601
-0.03396,0.02945
-0.03534,0.01895
-0.03340,0.00984
-0.02757,0.00042
-0.02155,-0.00437
-0.02064,-0.00577
-0.02225,-0.00973
-0.02415,-0.01603
-0.02617,-0.02652
-0.02552,-0.03850
-0.02407,-0.04291
-0.01792,-0.05000
