7566.00,5048.00
7627.38,5069.37
7747.19,5067.01
7814.39,5065.47
7861.43,5054.15
7932.62,5024.92
8224.32,4898.19
8386.78,4803.35
8581.74,4661.58
8784.45,4480.16
8966.35,4280.85
9107.22,4090.97
9226.81,3886.70
9330.47,3661.88
9410.46,3425.58
9484.87,3094.43
9530.79,2755.48
9534.68,2616.28
9527.39,2526.17
9513.40,2453.04
9492.16,2383.72
9458.02,2304.57
9356.28,2121.78
9327.36,2061.71
9313.91,2025.49
9307.00,1983.64
9305.01,1903.02
9306.64,1804.28
9313.36,1751.15
9324.59,1713.95
9339.02,1677.50
9356.08,1642.25
9375.45,1611.18
9398.90,1581.99
9432.97,1548.76
9514.75,1487.42
9633.44,1409.14
9653.96,1389.98
9667.80,1373.10
9679.55,1354.47
9690.94,1330.38
9703.43,1292.73
9720.74,1206.69
9772.62,824.63
9778.92,772.51
9779.49,745.39
9775.26,723.20
9767.52,700.09
9755.12,672.97
9735.50,639.20
9706.18,598.64
9669.30,557.32
9632.68,523.28
9599.84,498.15
9567.22,478.28
9530.19,461.07
9480.93,444.69
9393.15,426.46
8802.19,354.27
8600.07,331.66
8569.98,332.63
8554.78,335.28
8544.11,338.62
8535.14,342.59
8526.61,347.24
8517.82,352.70
8508.77,359.36
8499.51,367.83
8490.05,379.29
8480.35,395.94
8470.05,422.91
8458.02,475.37
8437.83,624.38
8384.83,1084.38
8384.70,1136.09
8388.21,1164.50
8393.68,1185.72
8401.35,1204.81
8412.84,1225.26
8434.73,1254.65
8543.82,1375.25
8587.28,1434.78
8611.68,1478.22
8628.41,1517.96
8640.60,1559.19
8649.03,1605.23
8653.65,1655.46
8652.98,1705.92
8647.16,1754.12
8636.55,1800.30
8621.07,1845.35
8600.22,1890.09
8573.04,1935.10
8539.76,1978.93
8504.49,2016.75
8472.48,2045.26
8443.63,2066.10
8415.62,2082.06
8386.16,2094.77
8352.50,2105.05
8309.94,2113.00
8247.39,2117.60
8119.96,2112.45
5716.85,1814.34
3682.57,1560.68
3641.08,1555.27
3617.64,1552.21
3599.79,1549.89
3584.25,1547.86
3570.96,1544.19
3566.94,1529.71
3563.18,1510.09
3539.91,1461.81
3521.60,1442.52
3502.71,1427.95
3479.94,1414.53
3450.09,1401.29
3408.56,1388.26
3348.00,1376.74
1893.50,1194.30
966.10,1080.24
880.11,1051.80
812.30,1019.28
780.07,1011.81
752.44,1010.05
724.97,1011.01
695.58,1015.12
663.23,1022.96
628.13,1035.14
591.71,1051.83
556.06,1072.67
523.28,1096.70
495.63,1122.22
474.87,1146.64
460.72,1168.08
451.61,1186.61
442.29,1211.78
422.98,1287.00
340.58,1808.98
322.37,2031.08
322.22,2070.98
324.76,2097.15
332.34,2125.70
344.64,2157.35
360.80,2189.37
379.12,2218.43
398.54,2243.15
418.95,2263.44
439.95,2280.61
461.95,2295.11
485.48,2307.23
511.57,2317.10
542.25,2324.65
582.72,2329.00
667.79,2327.22
937.64,2339.31
3162.12,2613.50
3248.33,2618.78
3269.56,2618.33
3295.54,2616.21
3322.68,2611.08
3350.08,2601.89
3379.79,2585.63
3431.28,2532.96
3445.83,2511.26
3455.96,2496.06
3470.52,2494.77
3486.82,2497.08
3505.08,2499.66
3529.09,2503.05
3575.04,2509.33
6412.70,2866.24
7825.27,3047.18
7921.22,3070.74
7982.43,3093.37
8032.10,3118.27
8078.52,3148.32
8126.15,3186.86
8173.88,3233.38
8215.31,3283.17
8249.03,3334.09
8276.38,3386.74
8297.98,3441.63
8313.90,3499.03
8324.02,3560.23
8327.47,3624.98
8324.12,3685.32
8314.60,3743.30
8291.82,3828.57
8242.09,3959.50
8144.87,4152.91
7978.31,4414.60
7736.20,4720.86
7609.93,4863.63
7586.05,4895.70
7572.74,4919.16
7565.39,4944.27
7561.11,4973.94
7560.58,5010.21
7566.00,5048.00
