278.00,19.00
269.65,22.35
243.32,40.68
207.96,64.07
188.77,82.00
185.17,84.83
184.05,85.95
183.42,86.58
182.96,87.00
182.48,87.00
182.10,87.00
181.76,87.00
181.45,87.00
181.16,87.00
180.93,86.88
180.72,86.72
180.52,86.52
180.32,86.32
180.10,86.10
180.20,85.85
180.43,85.57
180.78,85.22
180.99,84.68
181.00,83.73
181.00,81.91
183.00,73.64
183.00,67.11
181.00,60.28
179.00,55.74
176.17,52.17
174.14,49.14
170.64,48.00
165.87,46.00
160.88,45.00
156.00,46.00
150.49,47.00
145.80,49.20
142.48,51.52
140.00,54.36
138.00,59.81
129.72,85.28
124.00,105.57
122.86,108.14
121.98,109.76
120.97,111.03
119.65,112.00
117.51,112.00
112.55,112.00
90.93,115.00
69.80,122.00
61.85,126.15
57.31,130.69
53.41,135.59
51.00,140.17
49.00,151.57
44.00,168.47
40.46,189.54
36.17,218.83
33.26,235.74
33.97,241.17
35.00,246.52
39.13,254.13
44.17,261.17
49.35,265.35
58.05,270.05
74.56,275.00
78.72,276.00
80.53,276.53
81.86,277.04
82.89,277.96
83.00,279.53
83.00,281.83
83.00,292.47
85.00,303.21
91.14,317.10
95.87,329.93
99.66,337.66
104.57,343.57
121.24,360.00
130.13,366.13
151.84,375.84
156.25,377.00
157.61,377.61
158.52,378.00
159.27,378.27
159.81,378.81
160.00,379.47
160.00,380.26
159.85,381.10
159.05,381.95
157.62,383.38
153.83,391.15
152.00,394.33
152.00,397.32
152.00,400.22
153.02,402.79
154.62,405.62
160.48,411.00
163.35,413.35
164.47,414.47
165.29,415.29
165.94,416.00
165.96,416.90
165.33,417.67
164.44,418.56
162.99,420.01
157.07,426.04
153.00,436.12
150.90,444.02
150.00,449.34
150.67,453.67
152.14,458.09
154.32,462.32
157.76,465.76
161.64,468.64
165.41,470.41
170.66,471.00
186.75,471.00
207.29,467.00
217.01,463.93
219.22,463.00
221.26,463.26
222.97,464.93
226.01,467.01
238.82,479.81
246.32,484.32
252.68,487.00
260.99,488.05
268.52,488.00
289.19,482.81
332.52,472.00
361.29,467.01
373.34,463.66
379.25,459.75
388.00,452.59
398.59,436.41
405.39,426.61
408.63,423.37
411.27,422.00
414.89,421.00
432.30,417.70
441.92,414.08
450.41,408.59
465.60,395.40
470.00,389.87
476.00,376.87
478.39,367.61
479.00,359.04
478.00,351.47
475.13,344.12
472.83,338.84
468.62,334.62
462.86,330.86
456.25,328.00
454.46,327.46
453.31,326.31
453.00,324.73
453.00,322.34
452.00,309.30
453.00,296.24
449.00,279.92
444.64,262.64
433.00,240.37
420.55,224.55
399.07,204.07
378.32,192.32
360.42,185.42
346.21,183.00
329.49,182.51
278.99,192.05
254.31,198.00
249.00,197.90
241.54,195.54
223.75,189.01
210.63,187.63
207.02,186.92
204.49,185.49
202.41,182.41
198.00,176.30
193.93,167.93
191.00,159.53
191.00,154.62
191.00,151.24
192.07,148.93
193.29,146.71
195.66,144.34
212.14,133.86
242.28,116.72
280.74,98.00
288.01,92.90
294.91,85.98
298.00,80.33
300.02,74.26
301.00,67.14
300.00,55.10
295.44,38.44
293.00,32.76
285.38,23.38
282.07,20.13
278.00,19.00
