726.00,179.00
703.39,168.00
691.93,163.79
681.74,161.18
669.37,159.27
648.14,158.12
472.26,165.32
389.61,167.39
376.60,168.55
369.76,169.80
365.42,171.02
362.36,172.19
360.04,173.34
358.22,174.46
356.73,175.59
355.48,176.73
354.41,177.91
353.49,179.16
352.69,180.50
351.99,181.96
351.39,183.60
350.90,185.49
350.55,187.72
350.37,190.47
350.48,194.03
351.10,198.93
352.76,206.41
357.20,220.23
378.87,270.28
423.88,362.63
439.41,387.90
453.44,406.46
472.47,427.62
492.24,446.30
510.24,460.28
528.19,471.79
546.33,481.25
564.55,488.77
582.75,494.45
600.84,498.37
618.75,500.61
636.42,501.22
653.80,500.28
670.86,497.81
687.58,493.84
703.95,488.37
719.97,481.38
736.88,472.04
770.30,448.81
780.64,442.75
786.54,440.01
790.58,438.57
793.66,437.79
796.12,437.40
798.19,437.27
800.00,437.33
801.62,437.53
803.10,437.87
804.50,438.33
805.84,438.92
807.16,439.66
808.47,440.56
809.81,441.69
811.21,443.12
812.71,444.97
814.34,447.43
816.20,450.89
818.38,456.07
821.08,464.57
824.21,478.26
826.52,491.74
827.79,500.44
828.49,505.82
828.52,508.88
828.24,510.95
827.81,512.54
827.24,513.84
826.57,515.00
825.74,516.06
824.75,517.09
823.47,518.12
821.80,519.19
819.48,520.36
816.00,521.69
810.11,523.34
798.15,525.60
762.68,530.96
743.94,535.81
724.97,542.57
705.70,551.46
685.85,562.86
665.08,577.39
643.00,595.97
619.16,619.95
592.99,651.42
563.78,693.57
530.67,751.53
492.65,833.70
443.15,969.15
418.82,1028.85
391.93,1080.46
317.81,1194.99
211.02,1353.40
173.63,1421.86
150.18,1475.41
134.46,1522.09
123.80,1566.32
117.07,1611.46
114.08,1661.15
115.31,1712.70
120.65,1759.62
130.01,1805.59
143.37,1850.61
160.72,1894.55
182.03,1937.20
207.28,1978.31
236.42,2017.59
269.35,2054.72
305.92,2089.34
345.98,2121.13
389.32,2149.75
435.74,2174.89
485.02,2196.28
537.27,2213.72
569.52,2221.54
627.64,2229.29
798.45,2238.51
971.14,2236.23
1030.57,2230.74
1054.51,2226.14
1097.81,2213.41
1143.81,2195.49
1190.05,2172.65
1235.60,2144.99
1279.31,2112.95
1320.01,2077.30
1356.68,2039.08
1388.62,1999.38
1415.52,1959.25
1437.39,1919.51
1454.50,1880.72
1468.22,1839.81
1482.02,1783.29
1489.43,1735.71
1492.25,1692.82
1491.27,1650.03
1486.03,1603.29
1474.60,1546.82
1451.46,1468.46
1397.18,1329.58
1309.88,1126.22
1246.28,940.18
1204.35,822.79
1171.24,750.21
1144.05,702.11
1121.15,668.81
1101.37,644.90
1083.90,627.24
1068.13,613.93
1053.62,603.76
1040.02,595.94
1027.05,589.96
1014.38,585.46
990.68,580.21
979.16,577.56
972.13,575.27
967.35,573.21
963.86,571.26
961.12,569.36
958.87,567.41
956.89,565.27
955.06,562.79
953.29,559.56
951.44,554.63
949.54,545.41
944.39,518.62
920.50,383.67
916.44,365.51
911.73,351.75
906.66,340.51
901.33,331.07
895.93,323.19
890.59,316.72
885.43,311.47
880.46,307.23
875.60,303.80
870.65,300.98
865.10,298.58
852.79,296.04
844.82,294.65
840.44,292.68
836.22,290.10
831.48,286.49
825.53,280.99
817.01,271.48
793.55,238.40
778.84,220.77
764.53,206.60
748.47,193.37
726.00,179.00
